drug1, drug2, mechanism, action, property, description
Eszopiclone,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Eszopiclone
Eszopiclone,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Eszopiclone
Eszopiclone,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Eszopiclone
Eszopiclone,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Eszopiclone
Ethanol,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Ethanol
Ethanol,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Ethanol
Ethanol,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Ethanol
Ethanol,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Ethanol
Ethanol,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Ethanol
Ethanol,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Ethanol
Ethanol,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Ethanol
Ethanolamineoleate,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Ethanolamineoleate
Ethinylestradiol,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Ethinylestradiol
Ethinylestradiol,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Ethinylestradiol
Ethinylestradiol,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Ethinylestradiol
Ethinylestradiol,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Ethinylestradiol
Ethinylestradiol,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Ethinylestradiol
Ethinylestradiol,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Ethinylestradiol
Ethinylestradiol,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Ethinylestradiol
Ethosuximide,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Ethosuximide
Ethosuximide,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Ethosuximide
Ethosuximide,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Ethosuximide
Ethosuximide,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Ethosuximide
Ethosuximide,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Ethosuximide
Ethosuximide,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Ethosuximide
Ethosuximide,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Ethosuximide
Ethosuximide,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Ethosuximide
Ethylmorphine,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Ethylmorphine
Ethylmorphine,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Ethylmorphine
Ethylmorphine,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Ethylmorphine
Ethylmorphine,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Ethylmorphine
Ethylmorphine,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Ethylmorphine
Ethylmorphine,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Ethylmorphine
Ethylmorphine,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Ethylmorphine
Ethylmorphine,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Ethylmorphine
Ethylmorphine,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Ethylmorphine
Ethylmorphine,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Ethylmorphine
Ethylmorphine,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Ethylmorphine
Ethylmorphine,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Ethylmorphine
Ethylmorphine,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Ethylmorphine
Ethylmorphine,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Ethylmorphine
Ethylmorphine,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Ethylmorphine
Ethylmorphine,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Ethylmorphine
Ethylmorphine,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Ethylmorphine
Etizolam,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Etizolam
Etizolam,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Etizolam
Etizolam,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Etizolam
Etizolam,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Etizolam
Etizolam,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Etizolam
Etizolam,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Etizolam
Etizolam,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Etizolam
Etizolam,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Etizolam
Etizolam,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Etizolam
Etodolac,Floxuridine,decrease,1/2,M,The metabolism of Floxuridine can be decreased when combined with Etodolac
Etodolac,Fluorouracil,decrease,1/2,M,The metabolism of Fluorouracil can be decreased when combined with Etodolac
Etodolac,Fluvastatin,decrease,1/2,M,The metabolism of Fluvastatin can be decreased when combined with Etodolac
Etodolac,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Etodolac
Etodolac,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Etodolac
Etodolac,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Etodolac
Etodolac,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Etodolac
Etodolac,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Etodolac
Etodolac,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Etodolac
Etodolac,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Etodolac
Etodolac,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Etodolac
Etonogestrel,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Etonogestrel
Etonogestrel,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Etonogestrel
Etonogestrel,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Etonogestrel
Etonogestrel,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Etonogestrel
Etonogestrel,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Etonogestrel
Etonogestrel,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Etonogestrel
Etonogestrel,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Etonogestrel
Etoposide,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Etoposide
Etoposide,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Etoposide
Etoposide,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Etoposide
Etoposide,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Etoposide
Etoposide,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Etoposide
Etoposide,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Etoposide
Etoposide,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Etoposide
Etoposide,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Etoposide
Etoposide,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Etoposide
Etoposide,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Etoposide
Etoposide,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Etoposide
Felodipine,Fluorouracil,decrease,1/2,M,The metabolism of Fluorouracil can be decreased when combined with Felodipine
Felodipine,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Felodipine
Felodipine,Halofantrine,decrease,1/2,M,The metabolism of Halofantrine can be decreased when combined with Felodipine
Felodipine,Ibuprofen,decrease,1/2,M,The metabolism of Ibuprofen can be decreased when combined with Felodipine
Felodipine,Ifosfamide,decrease,1/2,M,The metabolism of Ifosfamide can be decreased when combined with Felodipine
Felodipine,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Felodipine
Felodipine,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Felodipine
Felodipine,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Felodipine
Felodipine,Ketamine,decrease,1/2,M,The metabolism of Ketamine can be decreased when combined with Felodipine
Felodipine,Ketobemidone,decrease,1/2,M,The metabolism of Ketobemidone can be decreased when combined with Felodipine
Felodipine,Lansoprazole,decrease,1/2,M,The metabolism of Lansoprazole can be decreased when combined with Felodipine
Felodipine,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Felodipine
Felodipine,Levomilnacipran,decrease,1/2,M,The metabolism of Levomilnacipran can be decreased when combined with Felodipine
Felodipine,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Felodipine
Felodipine,Loperamide,decrease,1/2,M,The metabolism of Loperamide can be decreased when combined with Felodipine
Felodipine,Loratadine,decrease,1/2,M,The metabolism of Loratadine can be decreased when combined with Felodipine
Felodipine,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Felodipine
Felodipine,Mefenamicacid,decrease,1/2,M,The metabolism of Mefenamicacid can be decreased when combined with Felodipine
Felodipine,Meloxicam,decrease,1/2,M,The metabolism of Meloxicam can be decreased when combined with Felodipine
Felodipine,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Felodipine
Felodipine,Mirtazapine,decrease,1/2,M,The metabolism of Mirtazapine can be decreased when combined with Felodipine
Felodipine,Morphine,decrease,1/2,M,The metabolism of Morphine can be decreased when combined with Felodipine
Felodipine,Mycophenolatemofetil,decrease,1/2,M,The metabolism of Mycophenolatemofetil can be decreased when combined with Felodipine
Felodipine,Naloxone,decrease,1/2,M,The metabolism of Naloxone can be decreased when combined with Felodipine
Felodipine,Naproxen,decrease,1/2,M,The metabolism of Naproxen can be decreased when combined with Felodipine
Felodipine,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Felodipine
Felodipine,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Felodipine
Fesoterodine,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Fesoterodine
Finasteride,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Finasteride
Finasteride,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Finasteride
Finasteride,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Finasteride
Finasteride,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Finasteride
Finasteride,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Finasteride
Finasteride,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Finasteride
Finasteride,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Finasteride
Fingolimod,Fluoxetine,decrease,1/2,M,The metabolism of Fluoxetine can be decreased when combined with Fingolimod
Fingolimod,Fluvoxamine,decrease,1/2,M,The metabolism of Fluvoxamine can be decreased when combined with Fingolimod
Fingolimod,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Fingolimod
Fingolimod,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Fingolimod
Fingolimod,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Fingolimod
Fingolimod,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Fingolimod
Fingolimod,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Fingolimod
Fluoxetine,Hydromorphone,decrease,1/2,M,The metabolism of Hydromorphone can be decreased when combined with Fluoxetine
Fluoxetine,Ibuprofen,decrease,1/2,M,The metabolism of Ibuprofen can be decreased when combined with Fluoxetine
Fluoxetine,Idarubicin,decrease,1/2,M,The metabolism of Idarubicin can be decreased when combined with Fluoxetine
Fluoxetine,Ifosfamide,decrease,1/2,M,The metabolism of Ifosfamide can be decreased when combined with Fluoxetine
Fluvoxamine,Iloperidone,decrease,1/2,M,The metabolism of Iloperidone can be decreased when combined with Fluvoxamine
Fluvoxamine,Imidafenacin,decrease,1/2,M,The metabolism of Imidafenacin can be decreased when combined with Fluvoxamine
Fluvoxamine,Imiquimod,decrease,1/2,M,The metabolism of Imiquimod can be decreased when combined with Fluvoxamine
Fluvoxamine,Indacaterol,decrease,1/2,M,The metabolism of Indacaterol can be decreased when combined with Fluvoxamine
Fluvoxamine,Indapamide,decrease,1/2,M,The metabolism of Indapamide can be decreased when combined with Fluvoxamine
Fluvoxamine,Indomethacin,decrease,1/2,M,The metabolism of Indomethacin can be decreased when combined with Fluvoxamine
Fluvoxamine,Ipratropiumbromide,decrease,1/2,M,The metabolism of Ipratropiumbromide can be decreased when combined with Fluvoxamine
Fluvoxamine,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Fluvoxamine
Fluvoxamine,Irinotecan,decrease,1/2,M,The metabolism of Irinotecan can be decreased when combined with Fluvoxamine
Fluvoxamine,Isavuconazole,decrease,1/2,M,The metabolism of Isavuconazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Fluvoxamine
Fluvoxamine,Isosorbidedinitrate,decrease,1/2,M,The metabolism of Isosorbidedinitrate can be decreased when combined with Fluvoxamine
Fluvoxamine,Isosorbidemononitrate,decrease,1/2,M,The metabolism of Isosorbidemononitrate can be decreased when combined with Fluvoxamine
Fluvoxamine,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Fluvoxamine
Fluvoxamine,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Ivermectin,decrease,1/2,M,The metabolism of Ivermectin can be decreased when combined with Fluvoxamine
Fluvoxamine,Ixabepilone,decrease,1/2,M,The metabolism of Ixabepilone can be decreased when combined with Fluvoxamine
Fluvoxamine,Ketamine,decrease,1/2,M,The metabolism of Ketamine can be decreased when combined with Fluvoxamine
Fluvoxamine,Ketazolam,decrease,1/2,M,The metabolism of Ketazolam can be decreased when combined with Fluvoxamine
Fluvoxamine,Ketobemidone,decrease,1/2,M,The metabolism of Ketobemidone can be decreased when combined with Fluvoxamine
Fluvoxamine,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Ketoprofen,decrease,1/2,M,The metabolism of Ketoprofen can be decreased when combined with Fluvoxamine
Fluvoxamine,Labetalol,decrease,1/2,M,The metabolism of Labetalol can be decreased when combined with Fluvoxamine
Fluvoxamine,Lansoprazole,decrease,1/2,M,The metabolism of Lansoprazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Lapatinib,decrease,1/2,M,The metabolism of Lapatinib can be decreased when combined with Fluvoxamine
Fluvoxamine,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Fluvoxamine
Fluvoxamine,Lenvatinib,decrease,1/2,M,The metabolism of Lenvatinib can be decreased when combined with Fluvoxamine
Fluvoxamine,Lercanidipine,decrease,1/2,M,The metabolism of Lercanidipine can be decreased when combined with Fluvoxamine
Fluvoxamine,Lesinurad,decrease,1/2,M,The metabolism of Lesinurad can be decreased when combined with Fluvoxamine
Fluvoxamine,Letrozole,decrease,1/2,M,The metabolism of Letrozole can be decreased when combined with Fluvoxamine
Fluvoxamine,Levobupivacaine,decrease,1/2,M,The metabolism of Levobupivacaine can be decreased when combined with Fluvoxamine
Fluvoxamine,Levocetirizine,decrease,1/2,M,The metabolism of Levocetirizine can be decreased when combined with Fluvoxamine
Fluvoxamine,Levodopa,decrease,1/2,M,The metabolism of Levodopa can be decreased when combined with Fluvoxamine
Fluvoxamine,Levomethadylacetate,decrease,1/2,M,The metabolism of Levomethadylacetate can be decreased when combined with Fluvoxamine
Fluvoxamine,Levomilnacipran,decrease,1/2,M,The metabolism of Levomilnacipran can be decreased when combined with Fluvoxamine
Fluvoxamine,Levonorgestrel,decrease,1/2,M,The metabolism of Levonorgestrel can be decreased when combined with Fluvoxamine
Fluvoxamine,Levothyroxine,decrease,1/2,M,The metabolism of Levothyroxine can be decreased when combined with Fluvoxamine
Fluvoxamine,Lidocaine,decrease,1/2,M,The metabolism of Lidocaine can be decreased when combined with Fluvoxamine
Fluvoxamine,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Fluvoxamine
Fluvoxamine,Lomefloxacin,decrease,1/2,M,The metabolism of Lomefloxacin can be decreased when combined with Fluvoxamine
Fluvoxamine,Lomustine,decrease,1/2,M,The metabolism of Lomustine can be decreased when combined with Fluvoxamine
Fluvoxamine,Loperamide,decrease,1/2,M,The metabolism of Loperamide can be decreased when combined with Fluvoxamine
Fluvoxamine,Loratadine,decrease,1/2,M,The metabolism of Loratadine can be decreased when combined with Fluvoxamine
Fluvoxamine,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Fluvoxamine
Fluvoxamine,Lornoxicam,decrease,1/2,M,The metabolism of Lornoxicam can be decreased when combined with Fluvoxamine
Fluvoxamine,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Fluvoxamine
Fluvoxamine,Lumiracoxib,decrease,1/2,M,The metabolism of Lumiracoxib can be decreased when combined with Fluvoxamine
Fluvoxamine,Macimorelin,decrease,1/2,M,The metabolism of Macimorelin can be decreased when combined with Fluvoxamine
Fluvoxamine,Macitentan,decrease,1/2,M,The metabolism of Macitentan can be decreased when combined with Fluvoxamine
Fluvoxamine,Malathion,decrease,1/2,M,The metabolism of Malathion can be decreased when combined with Fluvoxamine
Fluvoxamine,Maprotiline,decrease,1/2,M,The metabolism of Maprotiline can be decreased when combined with Fluvoxamine
Fluvoxamine,Maraviroc,decrease,1/2,M,The metabolism of Maraviroc can be decreased when combined with Fluvoxamine
Fluvoxamine,Mebendazole,decrease,1/2,M,The metabolism of Mebendazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Medroxyprogesteroneacetate,decrease,1/2,M,The metabolism of Medroxyprogesteroneacetate can be decreased when combined with Fluvoxamine
Fluvoxamine,Mefenamicacid,decrease,1/2,M,The metabolism of Mefenamicacid can be decreased when combined with Fluvoxamine
Fluvoxamine,Mefloquine,decrease,1/2,M,The metabolism of Mefloquine can be decreased when combined with Fluvoxamine
Fluvoxamine,Melatonin,decrease,1/2,M,The metabolism of Melatonin can be decreased when combined with Fluvoxamine
Fluvoxamine,Meloxicam,decrease,1/2,M,The metabolism of Meloxicam can be decreased when combined with Fluvoxamine
Fluvoxamine,Menadione,decrease,1/2,M,The metabolism of Menadione can be decreased when combined with Fluvoxamine
Fluvoxamine,Meprobamate,decrease,1/2,M,The metabolism of Meprobamate can be decreased when combined with Fluvoxamine
Fluvoxamine,Mequitazine,decrease,1/2,M,The metabolism of Mequitazine can be decreased when combined with Fluvoxamine
Fluvoxamine,Mesoridazine,decrease,1/2,M,The metabolism of Mesoridazine can be decreased when combined with Fluvoxamine
Fluvoxamine,Mestranol,decrease,1/2,M,The metabolism of Mestranol can be decreased when combined with Fluvoxamine
Fluvoxamine,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Fluvoxamine
Fluvoxamine,Methamphetamine,decrease,1/2,M,The metabolism of Methamphetamine can be decreased when combined with Fluvoxamine
Fluvoxamine,Methoxyflurane,decrease,1/2,M,The metabolism of Methoxyflurane can be decreased when combined with Fluvoxamine
Fluvoxamine,Methsuximide,decrease,1/2,M,The metabolism of Methsuximide can be decreased when combined with Fluvoxamine
Fluvoxamine,Methylphenidate,decrease,1/2,M,The metabolism of Methylphenidate can be decreased when combined with Fluvoxamine
Fluvoxamine,Methylphenobarbital,decrease,1/2,M,The metabolism of Methylphenobarbital can be decreased when combined with Fluvoxamine
Fluvoxamine,Methylprednisolone,decrease,1/2,M,The metabolism of Methylprednisolone can be decreased when combined with Fluvoxamine
Fluvoxamine,Methyltestosterone,decrease,1/2,M,The metabolism of Methyltestosterone can be decreased when combined with Fluvoxamine
Fluvoxamine,Methyprylon,decrease,1/2,M,The metabolism of Methyprylon can be decreased when combined with Fluvoxamine
Fluvoxamine,Metronidazole,decrease,1/2,M,The metabolism of Metronidazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Mexiletine,decrease,1/2,M,The metabolism of Mexiletine can be decreased when combined with Fluvoxamine
Fluvoxamine,Mianserin,decrease,1/2,M,The metabolism of Mianserin can be decreased when combined with Fluvoxamine
Fluvoxamine,Miconazole,decrease,1/2,M,The metabolism of Miconazole can be decreased when combined with Fluvoxamine
Fluvoxamine,Midazolam,decrease,1/2,M,The metabolism of Midazolam can be decreased when combined with Fluvoxamine
Fluvoxamine,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Fluvoxamine
Fluvoxamine,Mifepristone,decrease,1/2,M,The metabolism of Mifepristone can be decreased when combined with Fluvoxamine
Fluvoxamine,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Fluvoxamine
Fluvoxamine,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Fluvoxamine
Fluvoxamine,Montelukast,decrease,1/2,M,The metabolism of Montelukast can be decreased when combined with Fluvoxamine
Fluvoxamine,Morphine,decrease,1/2,M,The metabolism of Morphine can be decreased when combined with Fluvoxamine
Fluvoxamine,Mycophenolatemofetil,decrease,1/2,M,The metabolism of Mycophenolatemofetil can be decreased when combined with Fluvoxamine
Fluvoxamine,Nabiximols,decrease,1/2,M,The metabolism of Nabiximols can be decreased when combined with Fluvoxamine
Fluvoxamine,Nabumetone,decrease,1/2,M,The metabolism of Nabumetone can be decreased when combined with Fluvoxamine
Fluvoxamine,Naloxone,decrease,1/2,M,The metabolism of Naloxone can be decreased when combined with Fluvoxamine
Fluvoxamine,Naproxen,decrease,1/2,M,The metabolism of Naproxen can be decreased when combined with Fluvoxamine
Fluvoxamine,Nateglinide,decrease,1/2,M,The metabolism of Nateglinide can be decreased when combined with Fluvoxamine
Fluvoxamine,Neratinib,decrease,1/2,M,The metabolism of Neratinib can be decreased when combined with Fluvoxamine
Fluvoxamine,Netupitant,decrease,1/2,M,The metabolism of Netupitant can be decreased when combined with Fluvoxamine
Fluvoxamine,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Fluvoxamine
Folicacid,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Folicacid
Formoterol,Gemfibrozil,decrease,1/2,M,The metabolism of Gemfibrozil can be decreased when combined with Formoterol
Formoterol,Haloperidol,decrease,1/2,M,The metabolism of Haloperidol can be decreased when combined with Formoterol
Formoterol,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Formoterol
Formoterol,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Formoterol
Formoterol,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Formoterol
Formoterol,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Formoterol
Formoterol,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Formoterol
Formoterol,Lobeglitazone,decrease,1/2,M,The metabolism of Lobeglitazone can be decreased when combined with Formoterol
Formoterol,Lorcaserin,decrease,1/2,M,The metabolism of Lorcaserin can be decreased when combined with Formoterol
Formoterol,Losartan,decrease,1/2,M,The metabolism of Losartan can be decreased when combined with Formoterol
Formoterol,Lovastatin,decrease,1/2,M,The metabolism of Lovastatin can be decreased when combined with Formoterol
Formoterol,Methadone,decrease,1/2,M,The metabolism of Methadone can be decreased when combined with Formoterol
Formoterol,Methotrimeprazine,decrease,1/2,M,The metabolism of Methotrimeprazine can be decreased when combined with Formoterol
Formoterol,Metoprolol,decrease,1/2,M,The metabolism of Metoprolol can be decreased when combined with Formoterol
Formoterol,Midostaurin,decrease,1/2,M,The metabolism of Midostaurin can be decreased when combined with Formoterol
Formoterol,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Formoterol
Formoterol,Moclobemide,decrease,1/2,M,The metabolism of Moclobemide can be decreased when combined with Formoterol
Formoterol,Modafinil,decrease,1/2,M,The metabolism of Modafinil can be decreased when combined with Formoterol
Formoterol,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Formoterol
Gemfibrozil,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Gemfibrozil
Gemfibrozil,Indomethacin,decrease,1/2,M,The metabolism of Indomethacin can be decreased when combined with Gemfibrozil
Gemfibrozil,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Gemfibrozil
Hydrocodone,Mirabegron,decrease,1/2,M,The metabolism of Mirabegron can be decreased when combined with Hydrocodone
Hydrocodone,Nicardipine,decrease,1/2,M,The metabolism of Nicardipine can be decreased when combined with Hydrocodone
Hydrocortisone,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Hydrocortisone
Hydrocortisone,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Hydrocortisone
Hydrocortisone,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Hydrocortisone
Hydrocortisone,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Hydrocortisone
Hydrocortisone,Nefazodone,decrease,1/2,M,The metabolism of Nefazodone can be decreased when combined with Hydrocortisone
Hydromorphone,Imatinib,decrease,1/2,M,The metabolism of Imatinib can be decreased when combined with Hydromorphone
Hydromorphone,Imipramine,decrease,1/2,M,The metabolism of Imipramine can be decreased when combined with Hydromorphone
Hydromorphone,Irbesartan,decrease,1/2,M,The metabolism of Irbesartan can be decreased when combined with Hydromorphone
Hydromorphone,Isoniazid,decrease,1/2,M,The metabolism of Isoniazid can be decreased when combined with Hydromorphone
Hydromorphone,Isradipine,decrease,1/2,M,The metabolism of Isradipine can be decreased when combined with Hydromorphone
Hydromorphone,Itraconazole,decrease,1/2,M,The metabolism of Itraconazole can be decreased when combined with Hydromorphone
Hydromorphone,Ketoconazole,decrease,1/2,M,The metabolism of Ketoconazole can be decreased when combined with Hydromorphone
Hydromorphone,Leflunomide,decrease,1/2,M,The metabolism of Leflunomide can be decreased when combined with Hydromorphone
